,Train Data (%),gamma,SVMTestAcc,SVMValAcc,SVMF1Score
0,10,0.0001,0.9444444444444444,0.9333333333333333,0.9447609126285569
1,20,0.0001,0.9611111111111111,0.9555555555555556,0.9604046375714456
2,30,0.0001,0.9777777777777777,0.9777777777777777,0.9795116062857998
3,40,0.0001,0.9833333333333333,0.9833333333333333,0.9851737361039687
4,50,0.0001,0.9888888888888889,0.9833333333333333,0.9902020202020202
5,60,0.0001,0.9888888888888889,0.9833333333333333,0.9902020202020202
6,70,0.0001,0.9888888888888889,0.9888888888888889,0.9902020202020202
7,80,0.0001,0.9888888888888889,0.9888888888888889,0.9902020202020202
8,90,0.0001,0.9944444444444445,0.9888888888888889,0.995452196382429
9,100,0.0001,0.9944444444444445,0.9944444444444445,0.995452196382429
10,10,0.0005,0.6055555555555555,0.5722222222222222,0.6207782010613476
11,20,0.0005,0.9222222222222223,0.8944444444444445,0.9255079078677912
12,30,0.0005,0.95,0.9555555555555556,0.950718459100812
13,40,0.0005,0.95,0.9555555555555556,0.9542379519491847
14,50,0.0005,0.95,0.9666666666666667,0.9515638933572937
15,60,0.0005,0.9666666666666667,0.9722222222222222,0.9689775896488421
16,70,0.0005,0.9722222222222222,0.9777777777777777,0.9745015130788044
17,80,0.0005,0.9777777777777777,0.9888888888888889,0.979303206483439
18,90,0.0005,0.9611111111111111,0.9833333333333333,0.965849764853087
19,100,0.0005,0.9555555555555556,0.9944444444444445,0.9605995886726785
20,10,0.001,0.18888888888888888,0.2,0.1719916911045943
21,20,0.001,0.39444444444444443,0.37222222222222223,0.40697310753762367
22,30,0.001,0.5,0.4777777777777778,0.5254244264507422
23,40,0.001,0.5111111111111111,0.4777777777777778,0.579761828965901
24,50,0.001,0.65,0.6111111111111112,0.7075003132583777
25,60,0.001,0.6722222222222223,0.6333333333333333,0.7291486003461165
26,70,0.001,0.7555555555555555,0.7222222222222222,0.7947875382893554
27,80,0.001,0.8166666666666667,0.7944444444444444,0.8450895569186052
28,90,0.001,0.8277777777777777,0.8333333333333334,0.8533628496066653
29,100,0.001,0.8388888888888889,0.8555555555555555,0.8628251118068306
30,10,0.005,0.08333333333333333,0.07777777777777778,0.015384615384615385
31,20,0.005,0.12777777777777777,0.08888888888888889,0.022660098522167486
32,30,0.005,0.12777777777777777,0.08888888888888889,0.022660098522167486
33,40,0.005,0.08333333333333333,0.07777777777777778,0.015384615384615385
34,50,0.005,0.08333333333333333,0.07777777777777778,0.015384615384615385
35,60,0.005,0.08333333333333333,0.07777777777777778,0.015384615384615385
36,70,0.005,0.08333333333333333,0.07777777777777778,0.015384615384615385
37,80,0.005,0.08333333333333333,0.07777777777777778,0.015384615384615385
38,90,0.005,0.08333333333333333,0.08333333333333333,0.015384615384615385
39,100,0.005,0.08333333333333333,0.1,0.015384615384615385
40,10,0.01,0.08333333333333333,0.07777777777777778,0.015384615384615385
41,20,0.01,0.12777777777777777,0.08888888888888889,0.022660098522167486
42,30,0.01,0.12777777777777777,0.08888888888888889,0.022660098522167486
43,40,0.01,0.08333333333333333,0.07777777777777778,0.015384615384615385
44,50,0.01,0.08333333333333333,0.07777777777777778,0.015384615384615385
45,60,0.01,0.08333333333333333,0.07777777777777778,0.015384615384615385
46,70,0.01,0.08333333333333333,0.07777777777777778,0.015384615384615385
47,80,0.01,0.08333333333333333,0.07777777777777778,0.015384615384615385
48,90,0.01,0.08333333333333333,0.07777777777777778,0.015384615384615385
49,100,0.01,0.08333333333333333,0.07777777777777778,0.015384615384615385
50,10,0.05,0.08333333333333333,0.07777777777777778,0.015384615384615385
51,20,0.05,0.12777777777777777,0.08888888888888889,0.022660098522167486
52,30,0.05,0.12777777777777777,0.08888888888888889,0.022660098522167486
53,40,0.05,0.08333333333333333,0.07777777777777778,0.015384615384615385
54,50,0.05,0.08333333333333333,0.07777777777777778,0.015384615384615385
55,60,0.05,0.08333333333333333,0.07777777777777778,0.015384615384615385
56,70,0.05,0.08333333333333333,0.07777777777777778,0.015384615384615385
57,80,0.05,0.08333333333333333,0.07777777777777778,0.015384615384615385
58,90,0.05,0.08333333333333333,0.07777777777777778,0.015384615384615385
59,100,0.05,0.08333333333333333,0.07777777777777778,0.015384615384615385
